"","artist","num_words","num_unique_words","per_unique"
"628","adie",1102,222,0.201451905626134
"629","adiemus",147,30,0.204081632653061
"630","adil-memon",191,77,0.403141361256544
"631","adina-howard",13390,1349,0.100746825989544
"632","adiseptember",103,72,0.699029126213592
"633","adithya-srinivasan",27,21,0.777777777777778
"634","adiva",363,112,0.308539944903581
"635","admiral-fallow",536,232,0.432835820895522
"636","admiral-freebee",686,206,0.300291545189504
"637","admiral-p",1480,312,0.210810810810811
"638","admiral-twin",6916,1358,0.196356275303644
"639","adna",64,29,0.453125
"640","adnan-aaenses",130,26,0.2
"641","ado-kojo",352,118,0.335227272727273
"642","adolescents",9151,1849,0.202054420281936
"643","adolphson-falk",1672,600,0.358851674641148
"644","adonis",1293,347,0.268368136117556
"645","adonis-king",1152,295,0.256076388888889
"646","adora",629,201,0.319554848966614
"647","adore-delano",4579,677,0.147848875300284
"648","adore-me-not",2550,552,0.216470588235294
"649","adoreance",209,67,0.320574162679426
"650","adorned-brood",3421,1242,0.363051739257527
"651","adrenaline-mob",6826,1036,0.151772634046294
"652","adrenaline-tunnel",82,44,0.536585365853659
"653","adria",784,334,0.426020408163265
"654","adrian-belew",16512,2776,0.16812015503876
"655","adrian-bujupi",311,115,0.369774919614148
"656","adrian-campbell",329,102,0.310030395136778
"657","adrian-crush",777,248,0.319176319176319
"658","adrian-furby-trio",524,236,0.450381679389313
"659","adrian-gurvitz",231,80,0.346320346320346
"660","adrian-lau",296,168,0.567567567567568
"661","adrian-lux",704,221,0.313920454545455
"662","adrian-marcel",2382,378,0.158690176322418
"663","adrian-rhen",298,133,0.446308724832215
"664","adrian-sina",259,59,0.227799227799228
"665","adrian-younge",254,145,0.570866141732283
"666","adriana-calcanhotto",1500,417,0.278
"667","adriana-evans",739,196,0.265223274695535
"668","adriana-figueroa",241,102,0.423236514522822
"669","adriana-fonzi",68,45,0.661764705882353
"670","adriana-rocha",186,91,0.489247311827957
"671","adriana-vitale",191,52,0.272251308900524
"672","adrianna-foster",671,207,0.30849478390462
"673","adriano-celentano",5614,1367,0.24349839686498
"674","adriano-correia-de-oliveira",344,142,0.412790697674419
"675","adriel-favela",284,169,0.595070422535211
"676","adrienne-pierce",974,265,0.272073921971253
"677","adrienne-taylor",251,111,0.442231075697211
"678","adrienne-young",5818,1363,0.234272946029563
"679","adrija-lokesh",1058,436,0.412098298676749
"680","adult-cinema",188,54,0.287234042553192
"681","adult-jazz",362,120,0.331491712707182
"682","advendio-desandros",109,76,0.697247706422018
"683","advent",3263,1015,0.311063438553478
"684","adventure-club",1263,261,0.206650831353919
"685","adventures-in-babysitting-cast",373,198,0.53083109919571
"686","adversity",1530,491,0.320915032679739
"687","adverts",2155,713,0.330858468677494
"688","ae-dil-hai-mushkil",321,124,0.386292834890966
"689","aeaadeoi",4,4,1
"690","aeena",95,79,0.831578947368421
"691","aendiaena",1070,385,0.35981308411215
"692","aeneioaea-aaadey",21,19,0.904761904761905
"693","aenima",89,43,0.48314606741573
"694","aeon",4483,797,0.17778273477582
"695","aeon-now",1671,684,0.409335727109515
"696","aeon-spoke",1286,374,0.290824261275272
"697","aeon-the-ace",632,302,0.477848101265823
"698","aereogramme",1137,326,0.286719437115215
"699","aerial",1899,465,0.244865718799368
